faculty,Engineering,,,,,,,,,,,,
department,Computer Engineering,,,,,,,,,,,,
year,2553,,,,,,,,,,,,
required_num_year,4,,,,,,,,,,,,
num_semester,3,,,,,,,,,,,,
max_year,8,,,,,,,,,,,,
*not_force_enrolled_semesters,3,,,,,,,,,,,,
*subject_groups,first-group:second-group,,,,,,,,,,,,
*branches,information:information-network:computer-control:computer-system-design,,,,,,,,,,,,
*categories,lecture:lab:project:calculation,,,,,,,,,,,,
*prerequisites,studied_prerequisite:passed_prerequisite:corequisite:cocurrent,,,,,,,,,,,,
code,name,credit,*studied_prerequisite,*passed_prerequisite,*corequisite,*cocurrent,*categories,subject_group,year,semester,short_name,not_fix_semester,*tags
#Table 6 First semester courses for the first group of first-year students,,,,,,,lecture,,1,1,,,
200-101,Introduction to Engineering,1,,,,,lecture,first-group,1,1,Intro Eng,,theory:choice
242-101,Introduction to Computer Programming,3,,,,,lecture:lab,first-group,1,1,Intro Com,,programming:algorithm
322-101,Basic Mathematics I,3,,,,,lecture,first-group,1,1,Math 1,,calculation:math
332-103,General Physics I,3,,,,,lecture,first-group,1,1,Phy 1,,calculation:physic
332-113,General Physics Laboratory I ,1,,,,,lab,first-group,1,1,Lab Phy 1,,calculation:physic:experiment
640-101,Healthy Body and Mind,3,,,,,lecture,first-group,1,1,Healthy,,theory:choice
890-101,Fundamental English Listening and Speaking,3,,,,,lecture,first-group,1,1,Eng 1,TRUE,english
#Table 7 Second semester courses for the first group of first-year students,,,,,,,,,,,,,
215-111,Engineering Drawing I,3,,,,,lecture,first-group,1,2,Drawing,,theory
220-102,Engineering Mechanics I,3,,,322-101,,lecture,first-group,1,2,Mecha,,calculation:math:physic:mechanic
322-102,Basic Mathematics II,3,322-101,,,,lecture,first-group,1,2,Math 2,,calculation:math
324-103,General Chemistry,3,,,,,lecture,first-group,1,2,Chem,,theory
325-103,General Chemistry Laboratory,1,,,,,lab,first-group,1,2,Lab Chem,,theory:experiment
332-104,General Physics II,3,332-103,,,,lecture,first-group,1,2,Phy 2,,calculation:physic
332-114,General Physics Laboratory II,1,332-113,,,332-104,lab,first-group,1,2,Lab Phy 2,,calculation:physic:experiment
340-326,"Science, Technology, and Society",3,,,,,lecture,first-group,1,2,Sci-Tech,,theory:choice
#Table 8 First semester courses for the second group of first-year students,,,,,,,lecture,,,,,,
215-111,Engineering Drawing I,3,,,,,lecture,second-group,1,1,Drawing,,
322-101,Basic Mathematics I,3,,,,,lecture,second-group,1,1,Math 1,,
324-103,General Chemistry,3,,,,,lecture,second-group,1,1,Chem,,
332-103,General Physics I,3,,,,,lecture,second-group,1,1,Phy 1,,
332-113,General Physics Laboratory I,1,,,,,lab,second-group,1,1,Lab Phy 1,,
640-101,Healthy Body and Mind,3,,,,,lecture,second-group,1,1,Healthy,,
890-100,Preparatory Foundation English,3,,,,,lecture,second-group,1,1,Eng Prep,TRUE,english
#Table 9 Second semester courses for the second group of first-year students,,,,,,,lecture,,1,,,,
200-101,Introduction to Engineering,1,,,,,lecture,second-group,1,2,Intro Eng,,
220-102,Engineering Mechanics I,3,,,322-101,,lecture,second-group,1,2,Mecha,,
242-101,Introduction to Computer Programming,3,,,,,lecture,second-group,1,2,Intro Com,,
322-102,Basic Mathematics II,3,322-101,,,,lecture,second-group,1,2,Math 2,,
325-103,General Chemistry Laboratory,1,,,,,lab,second-group,1,2,Lab Chem,,
332-104,General Physics II,3,332-103,,,,lecture,second-group,1,2,Phy 2,,
332-114,General Physics Laboratory II,1,332-113,,,332-104,lab,second-group,1,2,Lap Phy 2,,
340-326,"Science, Technology, and Society",3,,,,,lecture,second-group,1,2,Sci-Tech,,
890-101,Fundamental English Listening and Speaking,3,,,,,lecture,second-group,1,2,Eng 1,TRUE,english
#Table 10 First semester courses for the second-year students,,,,,,,,,,,,,
242-201,Computer Engineering Software Laboratory I,1,,,,,lab,,2,1,Lab Soft 1,,programming:experiment:software
242-202,Computer Engineering Hardware Laboratory I,1,,,,,lab,,2,1,Lab Hard 1,,experiment:hardware
242-205,Electric Circuits,3,,,,,lecture,,2,1,Circuit,,calculation:physic
242-206,Introduction to Computer Networks,2,,,,,lecture,,2,1,Network,,theory:network
242-207,Programming Fundamentals I,3,,,,,lecture:lab,,2,1,CPT,,programming:experiment:software:algorithm
242-208,Digital Logic and Design,3,,,,,lecture,,2,1,Digital,,theory:hardware
322-201,Basic Mathematics III,3,322-102,,,,lecture,,2,1,Math 3,,calculation:math
890-102,Fundamental English Reading and Writing,3,,,,,lecture,,2,1,Eng 2,TRUE,english
#Table 11 Second semester courses for the second-year students,,,,,,,,,,,,,
242-203,Computer Engineering Software Laboratory II,1,,242-201,,,lab,,2,2,Lab Soft 2,,programming:experiment:software
242-204,Computer Engineering Hardware Laboratory II,1,,242-202,,,lab,,2,2,Lab Hard 2,,experiment:hardware
242-209,Basic Electronics,3,,,,,lecture,,2,2,Basic Elec,,calculation:physic
242-210 ,Programming Fundamentals II,2,242-207,,,,lecture,,2,2,OOP,,programming:software
242-211,Software Engineering,2,,,,,lecture,,2,2,Soft Eng,,theory:software
242-212,Probability and Statistics,2,,,,,lecture,,2,2,Stat,,calculation:math
242-213,Discrete Mathematics,2,,,,,lecture,,2,2,Discrete,,calculation:math
242-214,Data Communications,2,,,,,lecture,,2,2,Data Com,,theory:calculation:network
,Social Sciences or Humanities,3,,,,,lecture,,2,2,*Social,TRUE,social
#Table 12 First semester courses for the third-year students,,,,,,,,,,,,,
242-301,Advanced Computer Engineering Laboratory I,1,,242-203:242-204,,,lab,,3,1,Lab Com 1,,programming:experiment:software:hardware
242-303,"Ethical, Legal and Social Issues in Computer Profession",1,,,,,lecture,,3,1,Ethic,,theory
242-304,Computer Operating Systems,2,,,,,lecture,,3,1,OS,,theory:software
242-305,Database Systems,3,242-207,,,,lecture,,3,1,DB,,theory:software
242-306,Wireless and Mobile computing,2,,,,,lecture,,3,1,Wireless,,theory:network
242-307,Computer Architecture and Organization,3,,,,,lecture,,3,1,Architect,,theory:hardware:programming
,Branch Technical Subject 1,3,,,,,lecture,,3,1,Branch 1,,
,Optional English Language,3,,,,,lecture,,3,1,Adv Eng 1,TRUE,english
#Table 13 Second semester courses for the third-year students,,,,,,,,,,,,,
242-302 ,Advanced Computer Engineering Laboratory II,1,,242-301,,,lab,,3,2,Lab Com 2,,programming:experiment:software:hardware
242-308,Computer Engineering Project Preparation,2,,242-207:242-208,,,project,,3,2,Prop Prep,,project:presentation
242-309,Microcontroller and Interfacing,3,,,,,lecture,,3,2,Microcon,,theory:hardware:programming
242-310,Introduction to Algorithms and Complexity,2,,242-207,,,lecture,,3,2,Algo,,theory:software:algorithm
242-311,Client/Server Computing and Web Technologies,2,,,,,lecture,,3,2,Client/Serv,,theory:software:network:programming
242-312,Computer Security,2,,,,,lecture,,3,2,Security,,theory:software:algorithm
,Branch Technical Subject 2,3,,,,,lecture,,3,2,Branch 2,,
,Optional English Language,3,,,,,lecture,,3,2,Adv Eng 2,TRUE,english
#Table 14 Third semester courses for the third-year students,,,,,,,,,,,,,
242-400,Practical Training,9,,200-101:242-101:322-101:332-103:332-113:640-101:890-101:215-111:220-102:322-102:324-103:325-103:332-104:332-114:340-326:242-201:242-202:242-205:242-206:242-207:242-208:322-201:890-102:242-203:242-204:242-209:242-210 :242-211:242-212:242-213:242-214:242-301:242-303:242-304:242-305:242-306:242-307,,,,,3,3,Trainning,,tranning
#Table 15 First semester courses for the Fourth-year students,,,,,,,lecture,,,,,,
242-401,Computer Engineering Project I,3,,242-203:242-204:242-308,,,project,,4,1,Prop 1,,project:presentation
,Branch Technical Subject 3,3,,,,,lecture,,4,1,Branch 3,,
,Technical Elective,3,,,,,lecture,,4,1,T Elective 1,TRUE,
895-171,Wisdom of Living,3,,,,,lecture,,4,1,Wisdom,,theory:choice
,Free Elective,3,,,,,lecture,,4,1,Free,TRUE,
,Optional physical education,1,,,,,lecture,,4,1,Phy Edu 1,TRUE,physic-edu
#Table 16 Second semester courses for the Fourth-year students,,,,,,,,,,,,,
242-402,Computer Engineering Project II,3,,242-401,,,project,,4,2,Prop 2,,project:presentation
242-001,Co-Curricular Activities,1,,,,,lecture,,4,2,Co-act,,activity
,Branch Technical Subject 4,3,,,,,lecture,,4,2,Branch  4,,
,Technical Elective,3,,,,,lecture,,4,2,T Elective 2,TRUE,
,Free Elective,3,,,,,lecture,,4,2,Free,TRUE,
,Optional physical education,1,,,,,lecture,,4,2,Phy Edu 2,TRUE,physic-edu
